Line item,FY2021,FY2022,FY2023
Total Revenue,"3,600,000","3,900,000","4,200,000"
Cost of sales,"2,100,000","2,250,000","2,400,000"
Net Income,"410,000","470,000","520,000"
Interest expense,"35,000","38,000","40,000"
Income tax expense,"90,000","100,000","110,000"
Depreciation,"80,000","85,000","90,000"
Amortization,"18,000","19,000","20,000"
Owner compensation,"160,000","170,000","180,000"
Owner's personal vehicle,"30,000","32,000","35,000"
One-time legal settlement,"0","0","60,000"
Total assets,"1,700,000","1,800,000","1,900,000"
Total liabilities,"650,000","680,000","700,000"
